LOCATION,POPULATION,R0,INIT CASES,SD,CT,FM EFFECT,FM,URBAN
Large urban,3000000,3,50,0,0,0.25,0,1
Large urban,3000000,3,50,0,0,0.25,0.2,1
Large urban,3000000,3,50,0,0,0.25,0.5,1
Large urban2,3000000,3,50,0.33,0,0.25,0,1
Large urban2,3000000,3,50,0.33,0,0.25,0.2,1
Large urban2,3000000,3,50,0.33,0,0.25,0.5,1
Large urban3,3000000,3,50,0,0.5,0.25,0,1
Large urban3,3000000,3,50,0,0.5,0.25,0.2,1
Large urban3,3000000,3,50,0,0.5,0.25,0.5,1
Large urban4,3000000,3,50,0.33,0.5,0.25,0,1
Large urban4,3000000,3,50,0.33,0.5,0.25,0.2,1
Large urban4,3000000,3,50,0.33,0.5,0.25,0.5,1
Large urban5,3000000,3,50,0,0,0.25,0.8,1
Large urban5,3000000,3,50,0,0.5,0.25,0.8,1
Large urban5,3000000,3,50,0,0.8,0.25,0.8,1
Large urban6,3000000,3,50,0.33,0,0.25,0.8,1
Large urban6,3000000,3,50,0.33,0.5,0.25,0.8,1
Large urban6,3000000,3,50,0.33,0.8,0.25,0.8,1
Large urban7,3000000,3,100,0,0,0.25,0,1
Large urban7,3000000,3,100,0,0,0.25,0.2,1
Large urban7,3000000,3,100,0,0,0.25,0.5,1
Large urban8,3000000,3,100,0.33,0,0.25,0,1
Large urban8,3000000,3,100,0.33,0,0.25,0.2,1
Large urban8,3000000,3,100,0.33,0,0.25,0.5,1
Large urban9,3000000,3,100,0,0.5,0.25,0,1
Large urban9,3000000,3,100,0,0.5,0.25,0.2,1
Large urban9,3000000,3,100,0,0.5,0.25,0.5,1
Large urban10,3000000,3,100,0.33,0.5,0.25,0,1
Large urban10,3000000,3,100,0.33,0.5,0.25,0.2,1
Large urban10,3000000,3,100,0.33,0.5,0.25,0.5,1
Large urban11,3000000,3,100,0,0,0.25,0.8,1
Large urban11,3000000,3,100,0,0.5,0.25,0.8,1
Large urban11,3000000,3,100,0,0.8,0.25,0.8,1
Large urban12,3000000,3,100,0.33,0,0.25,0.8,1
Large urban12,3000000,3,100,0.33,0.5,0.25,0.8,1
Large urban12,3000000,3,100,0.33,0.8,0.25,0.8,1
Medium urban,1000000,3,50,0,0,0.25,0,0
Medium urban,1000000,3,50,0,0,0.25,0.2,0
Medium urban,1000000,3,50,0,0,0.25,0.5,0
Medium urban2,1000000,3,50,0.33,0,0.25,0,0
Medium urban2,1000000,3,50,0.33,0,0.25,0.2,0
Medium urban2,1000000,3,50,0.33,0,0.25,0.5,0
Medium urban3,1000000,3,50,0,0.5,0.25,0,0
Medium urban3,1000000,3,50,0,0.5,0.25,0.2,0
Medium urban3,1000000,3,50,0,0.5,0.25,0.5,0
Medium urban4,1000000,3,50,0.33,0.5,0.25,0,0
Medium urban4,1000000,3,50,0.33,0.5,0.25,0.2,0
Medium urban4,1000000,3,50,0.33,0.5,0.25,0.5,0
Medium urban5,1000000,3,50,0,0,0.25,0.8,0
Medium urban5,1000000,3,50,0,0.5,0.25,0.8,0
Medium urban5,1000000,3,50,0,0.8,0.25,0.8,0
Medium urban6,1000000,3,50,0.33,0,0.25,0.8,0
Medium urban6,1000000,3,50,0.33,0.5,0.25,0.8,0
Medium urban6,1000000,3,50,0.33,0.8,0.25,0.8,0
Medium urban7,1000000,3,100,0,0,0.25,0,0
Medium urban7,1000000,3,100,0,0,0.25,0.2,0
Medium urban7,1000000,3,100,0,0,0.25,0.5,0
Medium urban8,1000000,3,100,0.33,0,0.25,0,0
Medium urban8,1000000,3,100,0.33,0,0.25,0.2,0
Medium urban8,1000000,3,100,0.33,0,0.25,0.5,0
Medium urban9,1000000,3,100,0,0.5,0.25,0,0
Medium urban9,1000000,3,100,0,0.5,0.25,0.2,0
Medium urban9,1000000,3,100,0,0.5,0.25,0.5,0
